Israel,Aharon Appelfeld,Blooms of Darkness
Israel,Sara Shilo,The Falafel King is Dead
Israel,Etgar Keret
Israel,Yehoshua Kenaz
Italy,Roberto Saviano,Gomorrah
Italy,Leonardo Sciascia,The Day of the Owl (trans. Archibald Colquhoun)
Italy,Fabio Geda,In the Sea there are Crocodiles (trans. Howard Curtis)
Italy,Elena Ferrante,The Lost Daughter
Italy,Antonio Tabucchi,Pereira Maintains
Italy,Diego Marani,New Finnish Grammar
Italy,Alessandro Baricco, Ocean Sea
Italy,Alessandro Baricco,Mr Gwyn
Jamaica,Kei Miller
Jamaica,Lindsay Barrett
Jamaica,Margaret Cezair-Thompson,The Pirate’s Daughter
Jamaica,Colin Channer
Jamaica,Brian Meeks,Paint the Town Red
Jamaica,Patricia Powell
Jamaica,Victor Stafford Reid
Jamaica,Vanessa Spence
Jamaica,Marlon James,John Crow’s Devil
Japan,Haruki Murakami,Kafka on the Shore
Japan,Haruki Murakami,1Q84
Japan,Natsume Sōseki,The Miner
Japan,Natsume Sōseki,I am a Cat
Japan,Michitsuna no Haha (Michitsuna’s mother),The Kagero Diary (trans. Sonja Arntzen)
Japan,Yukio Mishima,Death in Midsummer (trans. Seidensticker, Keene, Morris, Sargent)
Japan,Hiromi Kawakami Manazuru
Japan,Shiba Ryotaro
Japan,Yoko Ogawa
Japan,Yoriko Shono
Japan,Yumiko Kurahashi
Japan,Yoko Tawada
Japan,Yasunari Kawabata,Snow Country
Jordan,Ibrahim Nasrallah,The Time of White Horses
Kazakhstan,Rollan Seisenbayev,The Day the World Collapsed
Kazakhstan,Mukhamet Shayakhmetov,The Silent Steppe: The Story of a Kazakh Nomad Under Stalin
Kazakhstan,Nursultan Nazarbayev,My Life My Times and the Future
Kazakhstan,Ilyas Esenberlin,Nomads
Kenya,Binyavanga Wainaina,One Day I Will Write About This Place
Kenya,Ngũgĩ wa Thiong’o,A Grain of Wheat,
Kenya,Ngũgĩ wa Thiong’o,Wizard of the Crow
Kenya,Philo Ikonya,Kenya Will You Marry Me?
Kiribati Teweiariki Teaero Waa in Storms
Kuwait,Saif Marzooq al-Shamlan,Pearling in the Arabian Gulf
Kuwait,Jehan S Rajab,Invasion Kuwait
Kuwait,Haya al-Mughni,Women in Kuwait
Kuwait,Danderma,The Chronicles of Dathra a Dowdy Girl from Kuwait
Kyrgyzstan,Chinghiz Aitmatov,Jamilia
Kyrgyzstan,Chinghiz Aitmatov,The Place of the Skull
Laos,Outhine Bounyavong,Mother’s Beloved
Latvia,David Bezmozgis,The Free World
Latvia,Agate Nesaule,A Woman in Amber
Latvia,Inga Zolude,A Solace for Adam’s Tree
Latvia,Sandra Kalniete,With Dance Shoes in Siberian Snows
Lebanon,Joumana Haddad,I Killed Scheherazade
Lebanon,Elias Khoury,Yalo
Lebanon,Elias Khoury,Gate of the Sun
Lebanon,Hanan al-Shaykh,One Thousand and One Nights
Lebanon,Hanan al-Shaykh,The Locust and the Bird
Lebanon,Jabbour Douhaiy,June Rain
Lebanon,Alexandra Chreiteh,Always Coca-Cola
Lebanon,Iman Humaydan,Wild Mulberries
Lebanon,Amin Maalouf,Samarkand
Lebanon,Amin Maalouf,Leo the African
Lebanon,Rashid al-Daif,Dear Mr Kawabata
Lebanon,Amin al Rihani
Lebanon,Gibran Khalil Gibran
Lesotho Thomas Mofolo Chaka
Lesotho,AS Mopeli-Paulus, Blanket Boy’s Moon
Lesotho,AS Mopeli-Paulus,The World and the Cattle
Lesotho,Morabo Morojele,How We Buried Puso
Lesotho,Various authors,Basali! Stories by and about women in Lesotho
Liberia,Helene Cooper,The House at Sugar Beach
Liberia,Ellen Johnson Sirleaf,This Child Will Be Great
Liberia,Mardia Stone,Konkai: Living Between Two Worlds
Libya,Hisham Matar,In the Country of Men
Libya,Hisham Matar,Anatomy of a Disappearance
Libya,Ibrahim Al-Khoni,Anubius: A Desert Novel
Libya,Ibrahim Al-Khoni,Gold Dust
Libya,Ibrahim Al-Khoni,The Animists
Libya,Ibrahim Al-Khoni,The Bleeding of the Stone
Libya,Ibrahim Al-Khoni,The Puppet
Libya,Ibrahim Al-Khoni,The Seven Veils of Seth
Libya,Ahmed Fagi,Homeless Rats
Libya,Ahmed Fagi,30 Short Stories
Liechtenstein,Iren Nigg
Liechtenstein,Stefan Sprenger
Liechtenstein,Heinrich Harrer,Seven Years in Tibet
Liechtenstein,CC Bergius,The Noble Forger
Lithuania,Laura Sintija Černiauskaitė
Lithuania,Various authors, No Men No Cry (‘Collective Series’)
Lithuania,Ricardas Gavelis,Vilnius Poker
Lithuania,Jonas Mekas
Lithuania,Juozas Baltusis
Lithuania,Andrius Tapinas,Hour of the Wolf
Lithuania,Balys Sruoga,Forest of the Gods
Luxembourg,Jean Back Amateur
Luxembourg,Robi Gottlieb-Cahen,Minute Stories
Macedonia,Rumena Bužarovska,Scribbles
Macedonia,Goce Smilevski,Sigmund Freud’s Sister
Macedonia,Goce Smilevski,Conversation with Spinoza
Macedonia,Elizabeta Bakovska,On the way to Damascus
Macedonia,Rumena Bužarovska,Wisdom Tooth
Madagascar,ed. Jacques Bourgeacq and Liliane Ramarosoa,Voices from Madagascar
Malawi,Samson Kambalu,The Jive Talker
Malawi,Aubrey Kachingwe,No Easy Task
Malaysia Shih-Li Kow Ripples and Other Stories
Malaysia,A Samad Said
Maldives Abdullah Sadiq Dhon Hiyala and Ali Fulhu
Mali,Amadou Hampâté Bâ,The Strange Destiny of Wangrin
Mali,Yambo Ouloguem,Bound to Violence
Malta,Immanuel Mifsud,Happy Weekend
